%Alpha[deg]   c[m]     y/(b/2)   Xle/Cr    Clstaz    Cl_bas    Cl_add    Ccl/cavg    Cmac2d
  10.14985   2.70000   0.00000   0.00000   1.25487   0.03725   1.21761   1.46577  -0.02000
  10.14985   2.70000   0.00500   0.00000   1.25468   0.03710   1.21758   1.46555  -0.02033
  10.14985   2.70000   0.01500   0.00000   1.25430   0.03680   1.21750   1.46511  -0.02100
  10.14985   2.70000   0.02500   0.00000   1.25364   0.03629   1.21735   1.46435  -0.02167
  10.14985   2.70000   0.03500   0.00000   1.25275   0.03562   1.21713   1.46330  -0.02233
  10.14985   2.70000   0.04500   0.00000   1.25165   0.03481   1.21684   1.46201  -0.02300
  10.14985   2.70000   0.05500   0.00000   1.25035   0.03389   1.21646   1.46050  -0.02367
  10.14985   2.70000   0.06500   0.00000   1.24888   0.03286   1.21601   1.45878  -0.02433
  10.14985   2.70000   0.07500   0.00000   1.24723   0.03175   1.21549   1.45686  -0.02500
  10.14985   2.70000   0.08500   0.00000   1.24544   0.03055   1.21488   1.45476  -0.02567
  10.14985   2.70000   0.09500   0.00000   1.24349   0.02929   1.21420   1.45248  -0.02633
  10.14985   2.70000   0.10500   0.00000   1.24140   0.02797   1.21343   1.45004  -0.02700
  10.14985   2.70000   0.11500   0.00000   1.23917   0.02660   1.21257   1.44744  -0.02767
  10.14985   2.70000   0.12500   0.00000   1.23681   0.02518   1.21163   1.44468  -0.02833
  10.14985   2.70000   0.13500   0.00000   1.23432   0.02372   1.21060   1.44178  -0.02900
  10.14985   2.70000   0.14500   0.00000   1.23171   0.02223   1.20948   1.43873  -0.02967
  10.14985   2.70000   0.15500   0.00000   1.22898   0.02071   1.20827   1.43553  -0.03033
  10.14985   2.70000   0.16500   0.00000   1.22612   0.01917   1.20695   1.43220  -0.03100
  10.14985   2.70000   0.17500   0.00000   1.22315   0.01762   1.20553   1.42873  -0.03167
  10.14985   2.70000   0.18500   0.00000   1.22006   0.01606   1.20400   1.42512  -0.03233
  10.14985   2.70000   0.19500   0.00000   1.21685   0.01449   1.20236   1.42137  -0.03300
  10.14985   2.70000   0.20500   0.00000   1.21352   0.01293   1.20059   1.41748  -0.03367
  10.14985   2.70000   0.21500   0.00000   1.21007   0.01137   1.19870   1.41345  -0.03433
  10.14985   2.70000   0.22500   0.00000   1.20650   0.00983   1.19667   1.40928  -0.03500
  10.14985   2.70000   0.23500   0.00000   1.20280   0.00831   1.19449   1.40496  -0.03567
  10.14985   2.70000   0.24500   0.00000   1.19897   0.00681   1.19216   1.40049  -0.03633
  10.14985   2.70000   0.25500   0.00000   1.19500   0.00536   1.18965   1.39585  -0.03700
  10.14985   2.70000   0.26500   0.00000   1.19089   0.00394   1.18695   1.39104  -0.03767
  10.14985   2.70000   0.27500   0.00000   1.18661   0.00259   1.18402   1.38605  -0.03833
  10.14985   2.70000   0.28500   0.00000   1.18215   0.00130   1.18085   1.38084  -0.03900
  10.14985   2.70000   0.29500   0.00000   1.17746   0.00011   1.17735   1.37536  -0.03967
  10.14985   2.69207   0.30500   0.00185   1.17578  -0.00093   1.17671   1.36936  -0.04014
  10.14985   2.67621   0.31500   0.00556   1.17767  -0.00184   1.17951   1.36348  -0.04043
  10.14985   2.66036   0.32500   0.00926   1.17952  -0.00268   1.18219   1.35753  -0.04071
  10.14985   2.64450   0.33500   0.01296   1.18130  -0.00345   1.18475   1.35149  -0.04100
