# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
5

# DegenGeom Type, Name, SurfNdx, MainSurfNdx, SymCopyNdx, GeomID, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,wing,0,0,0,KRHKRAPPEA,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 2.619000000000000128e+01, 0.000000000000000000e+00, -2.149999999999999911e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,32,25
# x,y,z,u,w
4.067012825394132136e+01, 0.000000000000000000e+00, -2.908871365522685437e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
4.041421388532143055e+01, 0.000000000000000000e+00, -2.913969612280572719e+00, 1.000000000000000000e+00, 3.869397684534371662e-02
3.994240431387265033e+01, 0.000000000000000000e+00, -2.923068261158533687e+00, 1.000000000000000000e+00, 1.026557854254418756e-01
3.910918743081384719e+01, 0.000000000000000000e+00, -2.938388483654198691e+00, 1.000000000000000000e+00, 2.156105921095681499e-01
3.774371724038938680e+01, 0.000000000000000000e+00, -2.961959920728435058e+00, 1.000000000000000000e+00, 4.007164610985988751e-01
3.575850844654000582e+01, 0.000000000000000000e+00, -2.992190806844161166e+00, 1.000000000000000000e+00, 6.698265408099960405e-01
3.332265198104256143e+01, 0.000000000000000000e+00, -3.012133181697820739e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
3.088690354617659750e+01, 0.000000000000000000e+00, -2.985068254078863781e+00, 1.000000000000000000e+00, 1.330173459190004071e+00
2.890328373529791151e+01, 0.000000000000000000e+00, -2.903976373212588058e+00, 1.000000000000000000e+00, 1.599283538901400847e+00
2.754559798148155991e+01, 0.000000000000000000e+00, -2.760547264398116152e+00, 1.000000000000000000e+00, 1.784389407890431656e+00
2.673394446998660712e+01, 0.000000000000000000e+00, -2.575549493563289438e+00, 1.000000000000000000e+00, 1.897344214574558263e+00
2.631435457134725908e+01, 0.000000000000000000e+00, -2.365286481607393299e+00, 1.000000000000000000e+00, 1.961306023154656408e+00
2.619000000000000128e+01, 0.000000000000000000e+00, -2.149999999999999911e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
2.629668061820436975e+01, 0.000000000000000000e+00, -1.921753454832421326e+00, 1.000000000000000000e+00, 2.038693976845343592e+00
2.670488356894566806e+01, 0.000000000000000000e+00, -1.677092550777778523e+00, 1.000000000000000000e+00, 2.102655785425441959e+00
2.751584107967570247e+01, 0.000000000000000000e+00, -1.442725322372865548e+00, 1.000000000000000000e+00, 2.215610592109568344e+00
2.888881570021347045e+01, 0.000000000000000000e+00, -1.265769618116322714e+00, 1.000000000000000000e+00, 2.400716461098598931e+00
3.090172110075996414e+01, 0.000000000000000000e+00, -1.247812776582545968e+00, 1.000000000000000000e+00, 2.669826540809996374e+00
3.336228108777370949e+01, 0.000000000000000000e+00, -1.467084730856873520e+00, 1.000000000000000000e+00, 3.000000000000000000e+00
3.580497170871655754e+01, 0.000000000000000000e+00, -1.838246407284072070e+00, 1.000000000000000000e+00, 3.330173459190004071e+00
3.778180545469884777e+01, 0.000000000000000000e+00, -2.222815350497797660e+00, 1.000000000000000000e+00, 3.599283538901400625e+00
3.913364215397199075e+01, 0.000000000000000000e+00, -2.525376707820045308e+00, 1.000000000000000000e+00, 3.784389407890431656e+00
3.995506647084715723e+01, 0.000000000000000000e+00, -2.725002931966819197e+00, 1.000000000000000000e+00, 3.897344214574558485e+00
4.041893004725984184e+01, 0.000000000000000000e+00, -2.843181788604630889e+00, 1.000000000000000000e+00, 3.961306023154656408e+00
4.067012825394132136e+01, 0.000000000000000000e+00, -2.908871365522685437e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
4.072001959316167330e+01, 6.625306067044071101e-01, -2.794348125946165773e+00, 1.071428571428571397e+00, 0.000000000000000000e+00
4.047061300896297809e+01, 6.625306067044071101e-01, -2.799728256860090525e+00, 1.071428571428571397e+00, 3.869397684534371662e-02
4.001080085423004107e+01, 6.625306067044071101e-01, -2.809354228174218981e+00, 1.071428571428571397e+00, 1.026557854254418756e-01
3.919877023670620275e+01, 6.625306067044071101e-01, -2.825624701112942727e+00, 1.071428571428571397e+00, 2.156105921095681499e-01
3.786801748708867876e+01, 6.625306067044071101e-01, -2.850792393463834618e+00, 1.071428571428571397e+00, 4.007164610985988751e-01
3.593327665986560504e+01, 6.625306067044071101e-01, -2.883446593933826296e+00, 1.071428571428571397e+00, 6.698265408099960405e-01
3.355931695432527562e+01, 6.625306067044071101e-01, -2.906797974808096541e+00, 1.071428571428571397e+00, 1.000000000000000000e+00
3.118538697429442053e+01, 6.625306067044071101e-01, -2.884335748278157752e+00, 1.071428571428571397e+00, 1.330173459190004071e+00
2.925201582916706755e+01, 6.625306067044071101e-01, -2.808491949337776017e+00, 1.071428571428571397e+00, 1.599283538901400847e+00
2.792858136746737685e+01, 6.625306067044071101e-01, -2.670887981838322212e+00, 1.071428571428571397e+00, 1.784389407890431656e+00
2.713724446630131482e+01, 6.625306067044071101e-01, -2.491893379083125915e+00, 1.071428571428571397e+00, 1.897344214574558263e+00
2.672797312371696066e+01, 6.625306067044071101e-01, -2.287644990890928209e+00, 1.071428571428571397e+00, 1.961306023154656408e+00
2.660643078952243101e+01, 6.625306067044071101e-01, -2.078026143661629188e+00, 1.071428571428571397e+00, 2.000000000000000000e+00
2.671003509241136342e+01, 6.625306067044071101e-01, -1.855405011119317882e+00, 1.071428571428571397e+00, 2.038693976845343592e+00
2.710747742444852904e+01, 6.625306067044071101e-01, -1.616301724614128466e+00, 1.071428571428571397e+00, 2.102655785425441959e+00
2.789746189751928895e+01, 6.625306067044071101e-01, -1.386583276227015382e+00, 1.071428571428571397e+00, 2.215610592109568344e+00
2.923528192737860465e+01, 6.625306067044071101e-01, -1.211914833168178385e+00, 1.071428571428571397e+00, 2.400716461098598931e+00
3.119703566607307721e+01, 6.625306067044071101e-01, -1.191178426405365309e+00, 1.071428571428571397e+00, 2.669826540809996374e+00
3.359545600769515517e+01, 6.625306067044071101e-01, -1.400926215459314284e+00, 1.071428571428571397e+00, 3.000000000000000000e+00
3.597670497435439074e+01, 6.625306067044071101e-01, -1.758734828934550354e+00, 1.071428571428571397e+00, 3.330173459190004071e+00
3.790395022490825738e+01, 6.625306067044071101e-01, -2.130359034838113619e+00, 1.071428571428571397e+00, 3.599283538901400625e+00
3.922193997904293639e+01, 6.625306067044071101e-01, -2.423063089006055826e+00, 1.071428571428571397e+00, 3.784389407890431656e+00
4.002282304576142735e+01, 6.625306067044071101e-01, -2.616298912712601066e+00, 1.071428571428571397e+00, 3.897344214574558485e+00
4.047509560493236336e+01, 6.625306067044071101e-01, -2.730730687128572587e+00, 1.071428571428571397e+00, 3.961306023154656408e+00
4.072001959316167330e+01, 6.625306067044071101e-01, -2.794348125946165773e+00, 1.071428571428571397e+00, 4.000000000000000000e+00
4.076991093238203234e+01, 1.325061213408814220e+00, -2.679824886369645665e+00, 1.142857142857142794e+00, 0.000000000000000000e+00
4.052701213260453272e+01, 1.325061213408814220e+00, -2.685486901439607887e+00, 1.142857142857142794e+00, 3.869397684534371662e-02
4.007919739458743180e+01, 1.325061213408814220e+00, -2.695640195189904276e+00, 1.142857142857142794e+00, 1.026557854254418756e-01
3.928835304259855832e+01, 1.325061213408814220e+00, -2.712860918571686319e+00, 1.142857142857142794e+00, 2.156105921095681499e-01
3.799231773378797783e+01, 1.325061213408814220e+00, -2.739624866199233733e+00, 1.142857142857142794e+00, 4.007164610985988751e-01
3.610804487319119715e+01, 1.325061213408814220e+00, -2.774702381023490982e+00, 1.142857142857142794e+00, 6.698265408099960405e-01
3.379598192760798980e+01, 1.325061213408814220e+00, -2.801462767918373231e+00, 1.142857142857142794e+00, 1.000000000000000000e+00
3.148387040241224355e+01, 1.325061213408814220e+00, -2.783603242477451278e+00, 1.142857142857142794e+00, 1.330173459190004071e+00
2.960074792303622715e+01, 1.325061213408814220e+00, -2.713007525462963976e+00, 1.142857142857142794e+00, 1.599283538901400847e+00
2.831156475345319379e+01, 1.325061213408814220e+00, -2.581228699278527827e+00, 1.142857142857142794e+00, 1.784389407890431656e+00
2.754054446261602962e+01, 1.325061213408814220e+00, -2.408237264602962391e+00, 1.142857142857142794e+00, 1.897344214574558263e+00
2.714159167608665513e+01, 1.325061213408814220e+00, -2.210003500174464008e+00, 1.142857142857142794e+00, 1.961306023154656408e+00
2.702286157904486075e+01, 1.325061213408814220e+00, -2.006052287323258021e+00, 1.142857142857142794e+00, 2.000000000000000000e+00
2.712338956661836065e+01, 1.325061213408814220e+00, -1.789056567406214437e+00, 1.142857142857142794e+00, 2.038693976845343592e+00
2.751007127995139001e+01, 1.325061213408814220e+00, -1.555510898450478185e+00, 1.142857142857142794e+00, 2.102655785425441959e+00
2.827908271536287188e+01, 1.325061213408814220e+00, -1.330441230081165216e+00, 1.142857142857142794e+00, 2.215610592109568344e+00
2.958174815454373885e+01, 1.325061213408814220e+00, -1.158060048220034277e+00, 1.142857142857142794e+00, 2.400716461098598931e+00
3.149235023138619027e+01, 1.325061213408814220e+00, -1.134544076228184428e+00, 1.142857142857142794e+00, 2.669826540809996374e+00
3.382863092761660084e+01, 1.325061213408814220e+00, -1.334767700061755047e+00, 1.142857142857142794e+00, 3.000000000000000000e+00
3.614843823999221684e+01, 1.325061213408814220e+00, -1.679223250585028415e+00, 1.142857142857142794e+00, 3.330173459190004071e+00
3.802609499511766700e+01, 1.325061213408814220e+00, -2.037902719178428690e+00, 1.142857142857142794e+00, 3.599283538901400625e+00
3.931023780411387492e+01, 1.325061213408814220e+00, -2.320749470192066788e+00, 1.142857142857142794e+00, 3.784389407890431656e+00
4.009057962067570458e+01, 1.325061213408814220e+00, -2.507594893458382934e+00, 1.142857142857142794e+00, 3.897344214574558485e+00
4.053126116260489198e+01, 1.325061213408814220e+00, -2.618279585652513397e+00, 1.142857142857142794e+00, 3.961306023154656408e+00
4.076991093238203234e+01, 1.325061213408814220e+00, -2.679824886369645665e+00, 1.142857142857142794e+00, 4.000000000000000000e+00
4.081980227160238428e+01, 1.987591820113221219e+00, -2.565301646793126000e+00, 1.214285714285714191e+00, 0.000000000000000000e+00
4.058341125624608026e+01, 1.987591820113221219e+00, -2.571245546019126138e+00, 1.214285714285714191e+00, 3.869397684534371662e-02
4.014759393494482254e+01, 1.987591820113221219e+00, -2.581926162205589570e+00, 1.214285714285714191e+00, 1.026557854254418756e-01
3.937793584849091388e+01, 1.987591820113221219e+00, -2.600097136030430356e+00, 1.214285714285714191e+00, 2.156105921095681499e-01
3.811661798048727690e+01, 1.987591820113221219e+00, -2.628457338934633292e+00, 1.214285714285714191e+00, 4.007164610985988751e-01
3.628281308651679637e+01, 1.987591820113221219e+00, -2.665958168113155669e+00, 1.214285714285714191e+00, 6.698265408099960405e-01
3.403264690089070399e+01, 1.987591820113221219e+00, -2.696127561028649033e+00, 1.214285714285714191e+00, 1.000000000000000000e+00
3.178235383053006302e+01, 1.987591820113221219e+00, -2.682870736676744805e+00, 1.214285714285714191e+00, 1.330173459190004071e+00
2.994948001690538320e+01, 1.987591820113221219e+00, -2.617523101588151491e+00, 1.214285714285714191e+00, 1.599283538901400847e+00
2.869454813943901073e+01, 1.987591820113221219e+00, -2.491569416718734331e+00, 1.214285714285714191e+00, 1.784389407890431656e+00
2.794384445893073732e+01, 1.987591820113221219e+00, -2.324581150122798867e+00, 1.214285714285714191e+00, 1.897344214574558263e+00
2.755521022845635670e+01, 1.987591820113221219e+00, -2.132362009457999363e+00, 1.214285714285714191e+00, 1.961306023154656408e+00
2.743929236856729048e+01, 1.987591820113221219e+00, -1.934078430984887298e+00, 1.214285714285714191e+00, 2.000000000000000000e+00
2.753674404082535432e+01, 1.987591820113221219e+00, -1.722708123693110993e+00, 1.214285714285714191e+00, 2.038693976845343592e+00
2.791266513545425454e+01, 1.987591820113221219e+00, -1.494720072286827905e+00, 1.214285714285714191e+00, 2.102655785425441959e+00
2.866070353320645836e+01, 1.987591820113221219e+00, -1.274299183935315272e+00, 1.214285714285714191e+00, 2.215610592109568344e+00
2.992821438170887305e+01, 1.987591820113221219e+00, -1.104205263271889725e+00, 1.214285714285714191e+00, 2.400716461098598931e+00
3.178766479669930334e+01, 1.987591820113221219e+00, -1.077909726051003769e+00, 1.214285714285714191e+00, 2.669826540809996374e+00
3.406180584753805363e+01, 1.987591820113221219e+00, -1.268609184664196032e+00, 1.214285714285714191e+00, 3.000000000000000000e+00
3.632017150563005714e+01, 1.987591820113221219e+00, -1.599711672235506699e+00, 1.214285714285714191e+00, 3.330173459190004071e+00
3.814823976532707661e+01, 1.987591820113221219e+00, -1.945446403518744649e+00, 1.214285714285714191e+00, 3.599283538901400625e+00
3.939853562918482055e+01, 1.987591820113221219e+00, -2.218435851378077306e+00, 1.214285714285714191e+00, 3.784389407890431656e+00
4.015833619558998180e+01, 1.987591820113221219e+00, -2.398890874204164803e+00, 1.214285714285714191e+00, 3.897344214574558485e+00
4.058742672027741349e+01, 1.987591820113221219e+00, -2.505828484176455095e+00, 1.214285714285714191e+00, 3.961306023154656408e+00
4.081980227160238428e+01, 1.987591820113221219e+00, -2.565301646793126000e+00, 1.214285714285714191e+00, 4.000000000000000000e+00
