# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
7

# DegenGeom Type, Name, SurfNdx, MainSurfNdx, SymCopyNdx, GeomID, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,wing,0,0,0,LHHWOMTIVP,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 8.900000000000000355e+00, 0.000000000000000000e+00, 1.500000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,29,41
# x,y,z,u,w
1.146647790431925529e+01, 0.000000000000000000e+00, 1.365496592455634373e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.144285709624762504e+01, 0.000000000000000000e+00, 1.362893014997444752e+00, 1.000000000000000000e+00, 2.217532743852416652e-02
1.140849069057291665e+01, 0.000000000000000000e+00, 1.359185058753223263e+00, 1.000000000000000000e+00, 4.861236019843818978e-02
1.135900078949823389e+01, 0.000000000000000000e+00, 1.354009241151010290e+00, 1.000000000000000000e+00, 8.667019716349225189e-02
1.128877630599920323e+01, 0.000000000000000000e+00, 1.346988826046985777e+00, 1.000000000000000000e+00, 1.406477802401618626e-01
1.119119154224313561e+01, 0.000000000000000000e+00, 1.337845837525529102e+00, 1.000000000000000000e+00, 2.156105921095681499e-01
1.105945737994752598e+01, 0.000000000000000000e+00, 1.326604320418770744e+00, 1.000000000000000000e+00, 3.167313800375860522e-01
1.088841434230686289e+01, 0.000000000000000000e+00, 1.313874990895202988e+00, 1.000000000000000000e+00, 4.479128170830611877e-01
1.067722649858052186e+01, 0.000000000000000000e+00, 1.301157296721531242e+00, 1.000000000000000000e+00, 6.097298653327898332e-01
1.043209651808503935e+01, 0.000000000000000000e+00, 1.291007922757899884e+00, 1.000000000000000000e+00, 7.973767199424517393e-01
1.016721298317095545e+01, 0.000000000000000000e+00, 1.286819907938195895e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
9.902353289417051840e+00, 0.000000000000000000e+00, 1.291929335557934211e+00, 1.000000000000000000e+00, 1.202623280057548483e+00
9.657575357672536498e+00, 0.000000000000000000e+00, 1.308183697340794316e+00, 1.000000000000000000e+00, 1.390270134667210167e+00
9.447724377064641743e+00, 0.000000000000000000e+00, 1.334832166329906755e+00, 1.000000000000000000e+00, 1.552087182916938923e+00
9.279554986445665676e+00, 0.000000000000000000e+00, 1.368396935554160088e+00, 1.000000000000000000e+00, 1.683268619962413837e+00
9.151042486684236366e+00, 0.000000000000000000e+00, 1.399454167867789867e+00, 1.000000000000000000e+00, 1.784389407890431656e+00
9.055880120465850780e+00, 0.000000000000000000e+00, 1.422917769189198545e+00, 1.000000000000000000e+00, 1.859352219759838221e+00
8.987849625476624027e+00, 0.000000000000000000e+00, 1.441646405080259985e+00, 1.000000000000000000e+00, 1.913329802836507776e+00
8.941931363786544296e+00, 0.000000000000000000e+00, 1.460630113232582517e+00, 1.000000000000000000e+00, 1.951387639801561935e+00
8.914164544980216931e+00, 0.000000000000000000e+00, 1.481015763713607436e+00, 1.000000000000000000e+00, 1.977824672561475872e+00
8.900000000000000355e+00, 0.000000000000000000e+00, 1.500000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
8.891891294947594560e+00, 0.000000000000000000e+00, 1.523756191618957700e+00, 1.000000000000000000e+00, 2.022175327438524128e+00
8.893941035561768516e+00, 0.000000000000000000e+00, 1.560126118022300945e+00, 1.000000000000000000e+00, 2.048612360198438065e+00
8.916149698795919676e+00, 0.000000000000000000e+00, 1.607752069315560695e+00, 1.000000000000000000e+00, 2.086670197163492446e+00
8.966597334052201163e+00, 0.000000000000000000e+00, 1.662790691655036124e+00, 1.000000000000000000e+00, 2.140647780240161779e+00
9.054033753226628178e+00, 0.000000000000000000e+00, 1.718636753792766481e+00, 1.000000000000000000e+00, 2.215610592109568344e+00
9.186669950382938765e+00, 0.000000000000000000e+00, 1.763414417281632396e+00, 1.000000000000000000e+00, 2.316731380037586163e+00
9.367314361871699191e+00, 0.000000000000000000e+00, 1.783463566765909114e+00, 1.000000000000000000e+00, 2.447912817083061299e+00
9.591687815512162985e+00, 0.000000000000000000e+00, 1.777902982897155093e+00, 1.000000000000000000e+00, 2.609729865332790055e+00
9.850639152568522405e+00, 0.000000000000000000e+00, 1.751393077942328347e+00, 1.000000000000000000e+00, 2.797376719942451295e+00
1.012818584193293781e+01, 0.000000000000000000e+00, 1.706818149299045073e+00, 1.000000000000000000e+00, 3.000000000000000000e+00
1.040367928994914593e+01, 0.000000000000000000e+00, 1.650872892196094899e+00, 1.000000000000000000e+00, 3.202623280057548705e+00
1.065720981809851864e+01, 0.000000000000000000e+00, 1.591698291052394021e+00, 1.000000000000000000e+00, 3.390270134667209945e+00
1.087474506511408379e+01, 0.000000000000000000e+00, 1.536171344621513501e+00, 1.000000000000000000e+00, 3.552087182916938701e+00
1.105039169991050763e+01, 0.000000000000000000e+00, 1.488478589711969224e+00, 1.000000000000000000e+00, 3.683268619962413837e+00
1.118535588656310331e+01, 0.000000000000000000e+00, 1.450156352003075355e+00, 1.000000000000000000e+00, 3.784389407890431656e+00
1.128515452167174438e+01, 0.000000000000000000e+00, 1.420870514048365507e+00, 1.000000000000000000e+00, 3.859352219759838221e+00
1.135687516443768885e+01, 0.000000000000000000e+00, 1.399310786281474428e+00, 1.000000000000000000e+00, 3.913329802836507554e+00
1.140736908398359972e+01, 0.000000000000000000e+00, 1.383865698501128616e+00, 1.000000000000000000e+00, 3.951387639801561935e+00
1.144240746452166135e+01, 0.000000000000000000e+00, 1.373015096117312650e+00, 1.000000000000000000e+00, 3.977824672561475872e+00
1.146647790431925529e+01, 0.000000000000000000e+00, 1.365496592455634373e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
1.146647790431925529e+01, 3.392857142857141350e-01, 1.365496592455634373e+00, 1.071428571428571397e+00, 0.000000000000000000e+00
